code,location,registered,envelopes,valid,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,Unie H.A.V.E.L.,Referendum o Evropské unii,TOP 09,ANO 2011,Dobrá volba 2016,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,Česká strana národně sociální,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů
531758,Srbsko,411,271,270,53,0,0,15,0,25,12,5,3,3,1,0,34,0,0,20,72,0,0,8,1,4,0,0,14,0
531766,Stašov,362,220,220,20,1,0,29,0,9,22,1,2,2,0,0,19,0,1,23,69,0,0,5,0,1,1,1,14,0
531782,Suchomasty,360,238,236,23,1,0,12,0,5,45,5,2,2,0,0,28,0,0,9,59,0,0,8,0,1,1,0,35,0
531791,Svatá,407,288,287,31,0,0,23,0,14,32,0,1,3,0,1,33,0,0,19,100,0,0,9,0,1,0,0,19,1
531804,Svatý Jan pod Skalou,132,98,94,15,0,0,6,0,8,3,2,0,1,0,2,14,1,0,11,19,0,0,11,0,0,0,0,1,0
531812,Svinaře,524,372,372,71,0,0,8,0,22,17,10,4,10,2,1,71,0,0,46,79,0,0,7,0,3,0,0,20,1
531839,Tetín,691,484,480,69,1,0,37,1,39,36,3,0,5,0,0,63,1,0,30,106,0,3,19,0,1,0,4,62,0
531847,Tlustice,753,505,503,60,1,0,32,1,21,65,5,3,8,0,1,54,0,0,22,166,0,0,9,0,6,3,1,44,1
531855,Tmaň,891,502,499,55,3,0,36,1,28,44,10,6,15,0,1,45,1,2,18,170,1,0,6,0,6,1,1,48,1
534463,Točník,195,129,127,13,0,0,8,0,5,6,2,1,4,0,0,12,1,0,11,36,0,1,7,0,0,0,1,19,0
533106,Trubín,337,242,238,51,0,5,3,0,17,21,1,0,9,1,0,21,0,0,12,65,0,1,4,1,1,0,0,25,0
531880,Trubská,158,106,106,10,0,0,6,0,6,16,0,1,1,0,0,16,0,0,2,39,0,1,2,0,0,0,0,6,0
531901,Újezd,503,367,363,53,0,0,24,0,28,30,1,5,2,0,1,35,0,0,6,116,2,0,24,1,0,1,0,33,1
531910,Velký Chlumec,344,236,235,31,1,0,15,0,15,19,2,11,0,1,2,38,0,1,7,65,1,1,8,0,0,0,1,16,0
534234,Vinařice,79,58,58,8,0,0,5,0,2,6,0,0,0,0,0,8,0,0,2,25,0,0,0,0,0,0,0,2,0
534048,Vižina,217,159,159,31,0,0,9,0,8,12,5,0,3,0,0,12,0,0,5,53,0,0,3,0,0,0,0,18,0
531944,Vráž,907,600,598,83,1,0,45,0,34,55,6,3,9,2,1,82,0,1,27,176,1,0,14,0,4,1,1,51,1
531952,Všeradice,344,226,226,27,0,0,14,0,8,18,2,2,4,0,1,30,0,0,12,64,0,1,16,0,0,1,0,26,0
531961,Vysoký Újezd,580,373,370,58,0,1,20,0,24,23,4,4,8,0,0,77,1,0,23,80,0,1,13,0,3,0,0,30,0
531979,Zadní Třebaň,663,497,490,69,1,1,33,0,33,22,6,8,15,1,1,69,1,0,41,130,0,1,19,0,7,0,0,31,1
531995,Zaječov,1 181,768,763,94,2,0,53,1,27,119,13,5,9,1,0,79,0,1,32,228,0,1,16,1,3,1,5,65,7
532002,Záluží,392,228,227,22,0,1,16,0,12,39,3,2,0,0,0,15,0,0,4,68,0,3,6,0,0,1,1,31,3
532011,Zdice,3 218,1 958,1 945,268,0,0,212,3,91,183,29,19,25,0,7,190,1,0,77,591,0,2,48,0,10,3,2,180,4
532029,Žebrák,1 644,1 105,1 096,129,3,2,77,1,37,125,19,16,27,3,0,123,1,1,62,320,0,3,29,1,7,2,4,102,2
599417,Železná,207,146,146,21,0,0,5,0,3,20,0,0,2,0,1,21,0,0,12,53,0,0,3,0,0,0,0,5,0
